Date,Open,High,Low,Close,Adj Close,Volume
2022-09-12,35.779999,35.880001,35.299999,35.560001,35.560001,30115
2022-09-13,35.680000,35.680000,34.720001,34.720001,34.720001,23395
2022-09-14,34.720001,34.959999,34.500000,34.500000,34.500000,32969
2022-09-15,34.599998,34.740002,34.360001,34.599998,34.599998,21161
2022-09-16,34.660000,34.759998,34.099998,34.099998,34.099998,58318
2022-09-19,34.279999,34.779999,34.200001,34.299999,34.299999,40515
2022-09-20,34.500000,34.840000,34.099998,34.220001,34.220001,22357
2022-09-21,34.099998,34.259998,33.900002,34.000000,34.000000,50033
2022-09-22,33.900002,34.279999,33.840000,34.000000,34.000000,39844
2022-09-23,34.020000,34.099998,33.500000,33.580002,33.580002,51229
2022-09-26,33.700001,33.700001,32.299999,32.799999,32.799999,110677
2022-09-27,32.799999,33.200001,32.599998,32.700001,32.700001,67382
2022-09-28,32.500000,32.860001,32.000000,32.860001,32.860001,138131
2022-09-29,32.900002,33.380001,32.500000,33.000000,33.000000,56552
2022-09-30,33.000000,33.099998,32.180000,32.779999,32.779999,75196
2022-10-03,32.660000,32.779999,31.540001,32.200001,32.200001,99106
2022-10-04,32.680000,33.259998,32.599998,32.900002,32.900002,39011
2022-10-05,32.980000,33.000000,32.400002,32.500000,32.500000,41796
2022-10-06,32.639999,32.939999,32.560001,32.759998,32.759998,35325
2022-10-07,32.779999,33.200001,32.619999,32.799999,32.799999,51009
2022-10-10,32.799999,33.000000,31.879999,31.879999,31.879999,47889
2022-10-11,32.220001,32.220001,31.320000,31.480000,31.480000,73160
2022-10-12,31.500000,32.380001,31.420000,32.200001,32.200001,71784
2022-10-13,32.099998,32.599998,31.719999,32.500000,32.500000,101242
2022-10-14,32.599998,32.740002,32.000000,32.099998,32.099998,43024
2022-10-17,32.119999,32.459999,31.740000,31.799999,31.799999,45802
2022-10-18,32.299999,32.299999,31.920000,32.060001,32.060001,29093
2022-10-19,32.000000,32.060001,31.500000,31.500000,31.500000,43551
2022-10-20,31.700001,31.980000,31.260000,31.600000,31.600000,138830
2022-10-21,31.700001,31.700001,31.160000,31.500000,31.500000,26879
2022-10-24,31.780001,31.799999,31.420000,31.600000,31.600000,41849
2022-10-25,31.660000,32.340000,31.600000,31.700001,31.700001,42916
2022-10-26,31.719999,32.459999,31.700001,31.900000,31.900000,64181
2022-10-27,31.980000,32.720001,31.959999,32.400002,32.400002,45333
2022-10-28,32.520000,32.520000,31.920000,31.959999,31.959999,67950
2022-10-31,32.000000,32.500000,31.959999,32.320000,32.320000,111327
2022-11-01,null,null,null,null,null,null
2022-11-02,32.480000,33.639999,32.480000,33.500000,33.500000,85230
2022-11-03,33.360001,33.759998,33.139999,33.500000,33.500000,73698
2022-11-04,33.700001,34.500000,33.599998,34.500000,34.500000,42958
2022-11-07,34.540001,35.000000,34.099998,34.400002,34.400002,52522
2022-11-08,34.619999,35.400002,34.500000,35.380001,35.380001,53174
2022-11-09,35.419998,35.840000,34.959999,35.200001,35.200001,97219
2022-11-10,35.299999,36.200001,35.139999,36.099998,36.099998,65203
2022-11-11,null,null,null,null,null,null
2022-11-14,36.320000,36.880001,35.799999,36.119999,36.119999,112182
2022-11-15,36.720001,36.799999,35.419998,35.580002,35.580002,81544
2022-11-16,34.500000,35.880001,34.500000,35.880001,35.880001,97333
2022-11-17,35.799999,35.880001,34.320000,34.419998,34.419998,47819
2022-11-18,34.779999,34.799999,34.119999,34.240002,34.240002,59104
2022-11-21,34.599998,34.599998,33.680000,34.000000,34.000000,46369
2022-11-22,34.000000,34.779999,33.900002,34.779999,34.779999,32774
2022-11-23,34.500000,34.820000,34.200001,34.619999,34.619999,39008
2022-11-24,34.680000,35.380001,34.619999,35.380001,35.380001,37891
2022-11-25,35.360001,35.880001,35.000000,35.500000,35.500000,27956
2022-11-28,35.500000,35.599998,34.720001,35.340000,35.340000,44485
2022-11-29,35.299999,35.299999,34.900002,35.240002,35.240002,12380
